video_id,title,published_at,likes,view_count,comment_count,comment_text
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,2025🎉
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,saya dah buat persembahan dah
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,Hhqhqoji❤😇🙋😻
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,Saya suka Lagu ni
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,Sedih Bila dengar Lagu ni😢
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,Saya jumaat 3/5/2024🎉
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,Sy Hari Khamis 2/5/2024
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,Besok kami dah persembahan😊
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,Kena buat lakonan guna lagu ni yey
h8OiO4KYKyc,"Hari Raya - Iamneeta, Najwa Latif, Deanna Hussin, Mimie Haris",2024-03-17T01:00:29Z,820,93467,50,"👍🕌🙏🤲🕋🧕👳Raya
👇"
